count;dtLED
799;2
800;2
801;3
802;3
803;2
804;2
805;2
806;2
807;2
808;3
809;3
810;2
811;2
812;2
813;2
814;3
815;2
816;3
817;2
818;2
819;2
820;3
821;2
822;2
823;2
824;1
825;3
826;2
827;2
828;3
829;2
830;2
831;3
832;2
833;2
834;4
835;2
836;1
837;3
838;3
839;3
840;3
841;2
842;2
843;2
844;2
845;2
846;3
847;3
848;2
849;2
850;3
851;2
852;3
853;2
854;2
855;2
856;2
857;3
858;2
859;2
860;2
861;2
862;3
863;2
864;2
865;3
866;2
867;2
868;2
869;3
870;2
871;2
872;3
873;2
874;2
875;2
876;3
877;4
878;2
879;3
880;2
881;2
882;3
883;2
884;2
885;2
886;2
887;3
888;2
889;2
890;2
891;2
892;3
893;2
894;2
895;2
896;2
897;2
898;2
899;4
900;3
901;3
902;3
903;3
904;3
905;2
906;3
907;3
908;3
909;2
910;2
911;3
912;3
913;3
914;3
915;2
916;3
917;4
918;2
919;3
920;3
921;3
922;3
923;2
924;2
925;2
926;2
927;2
928;2
929;2
930;2
931;9
932;2
933;4
934;3
935;3
936;2
937;3
938;3
939;2
940;2
941;2
942;5
943;2
944;3
945;3
946;3
947;3
948;3
949;3
950;2
951;2
952;3
953;2
954;2
955;3
956;2
957;3
958;2
959;3
960;2
961;2
962;3
963;3
964;3
965;3
966;5
967;3
968;3
969;3
970;2
971;3
972;3
973;2
974;2
975;2
976;3
977;2
978;3
979;2
980;3
981;5
982;2
983;3
984;3
985;2
986;2
987;3
988;3
989;3
990;3
991;2
992;3
993;2
994;4
995;2
996;2
997;17
998;3
999;2
1000;3
1001;3
1002;2
1003;3
1004;3
1005;2
1006;4
1007;3
1008;2
1009;2
1010;2
1011;3
1012;3
1013;2
1014;2
1015;3
1016;2
1017;2
1018;3
1019;3
1020;3
1021;4
1022;6
1023;3
1024;2
1025;2
1026;2
1027;3
1028;3
1029;2
1030;3
1031;2
1032;4
1033;3
1034;3
1035;3
1036;2
1037;2
1038;2
1039;2
1040;3
1041;2
1042;2
1043;3
1044;2
1045;3
1046;2
1047;3
1048;3
1049;3
1050;2
1051;3
1052;4
1053;3
1054;2
1055;2
1056;3
1057;3
1058;3
1059;3
1060;2
1061;2
1062;2
1063;2
1064;2
1065;3
1066;2
1067;2
1068;3
1069;3
1070;2
1071;3
1072;2
1073;14
1074;2
1075;3
1076;3
1077;2
1078;3
1079;14
1080;2
1081;2
1082;2
1083;2
1084;2
1085;2
1086;3
1087;2
1088;3
1089;2
1090;2
1091;3
1092;3
1093;2
1094;2
1095;3
1096;2
1097;2
1098;5
1099;3
1100;3
1101;2
1102;2
1103;3
1104;3
1105;2
1106;2
1107;2
1108;3
1109;3
1110;2
1111;2
1112;3
1113;3
1114;3
1115;2
1116;3
1117;2
1118;3
1119;3
1120;3
1121;3
1122;3
1123;3
1124;2
1125;2
1126;3
1127;2
1128;2
1129;2
1130;2
1131;3
1132;3
1133;2
1134;3
1135;2
1136;3
1137;2
1138;2
1139;3
1140;2
1141;2
1142;3
1143;3
1144;3
1145;2
1146;2
1147;2
1148;3
1149;4
1150;2
1151;3
1152;2
1153;4
1154;4
1155;2
1156;2
1157;3
1158;2
1159;3
1160;2
1161;2
1162;2
1163;2
1164;3
1165;2
1166;3
1167;3
1168;3
1169;3
1170;2
1171;2
1172;4
1173;2
1174;2
1175;3
1176;3
1177;3
1178;3
1179;3
1180;3
1181;3
1182;3
1183;3
1184;2
1185;2
1186;3
1187;3
1188;4
1189;2
1190;4
1191;2
1192;3
1193;3
1194;3
1195;2
1196;2
1197;3
1198;3
1199;3
1200;3
1201;2
1202;3
1203;2
1204;2
1205;3
1206;3
1207;2
1208;3
1209;2
1210;2
1211;3
1212;2
1213;2
1214;4
1215;3
1216;2
1217;2
1218;3
1219;2
1220;3
1221;3
1222;3
1223;2
1224;14
1225;3
1226;3
1227;2
1228;3
1229;3
1230;2
1231;5
1232;3
1233;2
1234;3
1235;2
1236;3
1237;2
1238;3
1239;3
1240;2
1241;11
1242;2
1243;3
1244;2
1245;2
1246;3
1247;2
1248;2
1249;3
1250;3
1251;2
1252;3
