count;dtLSM
1;821
2;814
3;814
4;815
5;815
6;815
7;813
8;813
9;815
10;814
11;814
12;812
13;812
14;814
15;784
16;783
17;783
18;783
19;783
20;782
21;783
22;810
23;815
24;788
25;787
26;782
27;783
28;802
29;782
30;782
31;784
32;781
33;814
34;788
35;816
36;786
37;782
38;787
39;783
40;783
41;787
42;783
43;782
44;782
45;784
46;782
47;813
48;814
49;788
50;783
51;787
52;783
53;814
54;814
55;814
56;787
57;782
58;782
59;816
60;787
61;783
62;786
63;812
64;783
65;784
66;783
67;814
68;813
69;788
70;783
71;814
72;813
73;787
74;781
75;798
76;783
77;815
78;781
79;812
80;812
81;814
82;787
83;814
84;813
85;787
86;782
87;784
88;782
89;781
90;812
91;786
92;781
93;815
94;786
95;782
96;769
97;760
98;761
99;759
100;759
101;758
102;763
103;759
104;783
105;783
106;764
107;782
108;782
109;765
110;758
111;761
112;764
113;759
114;758
115;782
116;782
117;765
118;783
119;781
120;764
121;759
122;758
123;734
124;759
125;782
126;756
127;782
128;780
129;765
130;758
131;786
132;764
133;758
134;758
135;786
136;764
137;781
138;780
139;764
140;759
141;759
142;786
143;764
144;760
145;758
146;758
147;784
148;784
149;758
150;780
151;781
152;762
153;781
154;783
155;783
156;780
157;782
158;781
159;783
160;780
161;814
162;813
163;817
164;813
165;835
166;814
167;813
168;832
169;817
170;815
171;813
172;814
173;814
174;813
175;813
176;813
177;813
178;813
179;812
180;813
181;815
182;814
183;811
184;814
185;815
186;814
187;813
188;814
189;813
190;813
191;813
192;811
193;812
194;826
195;813
196;787
197;784
198;783
199;783
200;784
201;816
202;813
203;812
204;786
205;782
206;783
207;787
208;783
209;783
210;783
211;782
212;814
213;815
214;784
215;783
216;783
217;786
218;783
219;816
220;814
221;812
222;787
223;783
224;783
225;814
226;787
227;784
228;781
229;789
230;782
231;783
232;783
233;812
234;813
235;839
236;782
237;813
238;813
239;788
240;783
241;785
242;787
243;788
244;783
245;782
246;816
247;812
248;816
249;782
250;782
251;782
252;783
253;782
254;783
255;816
256;812
257;814
258;787
259;783
260;787
261;782
262;782
263;784
264;829
265;814
266;813
267;813
268;813
269;813
270;815
271;812
272;813
273;813
274;813
275;813
276;816
277;812
278;812
279;812
280;813
281;814
282;813
283;812
284;813
285;787
286;783
287;787
288;782
289;783
290;782
291;812
292;813
293;833
294;786
295;813
296;813
297;789
298;783
299;791
300;814
301;812
302;821
303;823
304;797
305;794
306;812
307;813
308;818
309;788
310;782
311;784
312;787
313;783
314;787
315;782
316;782
317;813
318;814
319;782
320;785
321;782
322;789
323;782
324;783
325;782
326;784
327;815
328;815
329;815
330;787
331;784
332;783
333;783
334;783
335;814
336;812
337;813
338;786
339;786
340;788
341;782
342;813
343;788
344;781
345;783
346;756
347;783
348;816
349;787
350;782
351;782
352;783
353;814
354;786
355;783
356;787
357;781
358;784
359;787
360;782
361;781
362;782
363;812
364;813
365;813
366;814
367;812
368;812
369;811
370;812
371;811
372;814
373;814
374;813
375;786
376;812
377;813
378;812
379;812
380;811
381;815
382;814
383;813
384;812
385;812
386;813
387;814
388;812
389;812
390;813
391;812
392;812
393;812
394;813
395;811
396;813
397;813
398;813
399;814
400;814
401;811
402;812
403;813
404;835
405;813
406;812
407;812
408;812
409;812
410;815
411;813
412;812
413;813
414;812
