count;dtLSM
764;780
765;780
766;1003
767;779
768;781
769;1004
770;792
771;897
772;1006
773;778
774;1005
775;781
776;779
777;990
778;785
779;827
780;854
781;779
782;927
783;777
784;783
785;1005
786;779
787;778
788;1005
789;779
790;779
791;1004
792;780
793;896
794;1005
795;779
796;897
797;1008
798;778
799;1004
800;793
801;779
802;1006
803;778
804;897
805;1004
806;779
807;896
808;971
809;779
810;898
811;786
812;778
813;930
814;780
815;779
816;991
817;780
818;891
819;779
820;778
821;1004
822;779
823;778
824;1004
825;779
826;778
827;1004
828;781
829;897
830;1005
831;779
832;895
833;1005
834;778
835;897
836;1007
837;778
838;900
839;1008
840;779
841;897
842;1006
843;779
844;896
845;778
846;779
847;1013
848;781
849;753
850;1005
851;779
852;779
853;1004
854;778
855;829
856;782
857;781
858;896
859;772
860;898
861;1007
862;780
863;899
864;778
865;780
866;896
867;742
868;779
869;899
870;780
871;779
872;897
873;779
874;784
875;1007
876;779
877;887
878;786
879;781
880;897
881;780
882;785
883;896
884;778
885;779
886;1004
887;782
888;780
889;802
890;779
891;897
892;782
893;779
894;1004
895;781
896;780
897;1006
898;778
899;780
900;1007
901;779
902;780
903;1007
904;778
905;897
906;1002
907;778
908;897
909;1004
910;779
911;896
912;1004
913;780
914;896
915;991
916;779
917;892
918;1005
919;779
920;898
921;779
922;779
923;896
924;779
925;779
926;910
927;779
928;779
929;1005
930;781
931;778
932;1005
933;779
934;779
935;997
936;780
937;777
938;1005
939;780
940;894
941;1004
942;779
943;897
944;1006
945;779
946;909
947;1009
948;780
949;903
950;1006
951;778
952;900
953;1002
954;778
955;897
956;779
957;779
958;899
959;779
960;778
961;896
962;780
963;779
964;1013
965;778
966;779
967;1003
968;780
969;779
970;1004
971;779
972;779
973;1013
974;780
975;896
976;980
977;780
978;897
979;1004
980;780
981;1005
982;792
983;779
984;1010
985;778
986;897
987;1003
988;779
989;896
990;1004
991;779
992;894
993;1003
994;778
995;896
996;1004
997;779
998;1004
999;781
1000;895
1001;1003
1002;779
1003;895
1004;1003
1005;780
1006;895
1007;1011
1008;779
1009;898
1010;1002
1011;779
1012;897
1013;778
1014;780
1015;897
1016;782
1017;785
1018;899
1019;779
1020;781
1021;1003
1022;779
1023;780
1024;1005
1025;780
1026;778
1027;1008
1028;780
1029;780
1030;1003
1031;780
1032;896
1033;1015
1034;779
1035;908
1036;1003
1037;783
1038;896
1039;1007
1040;777
1041;897
1042;1005
1043;785
1044;896
1045;1004
1046;780
1047;899
1048;782
1049;780
1050;894
1051;779
1052;778
1053;896
1054;779
1055;826
1056;930
1057;780
1058;896
1059;1005
1060;777
1061;897
1062;780
1063;1009
1064;782
1065;896
1066;1004
1067;780
1068;898
1069;1005
1070;779
1071;896
1072;1005
1073;778
1074;897
1075;969
1076;778
1077;895
1078;1003
1079;779
1080;895
1081;1005
1082;780
1083;897
1084;779
1085;779
1086;895
1087;779
1088;779
1089;1005
1090;778
1091;777
1092;1004
1093;779
1094;780
1095;1003
1096;779
1097;778
1098;1004
1099;779
1100;896
1101;1004
1102;779
1103;896
1104;1007
1105;779
1106;858
1107;1006
1108;779
1109;895
1110;1008
1111;778
1112;897
1113;1003
1114;782
1115;895
1116;780
1117;778
1118;897
1119;781
1120;785
1121;897
1122;782
1123;778
1124;898
1125;778
1126;905
1127;779
1128;780
1129;896
1130;781
1131;828
1132;931
1133;779
1134;899
1135;1005
1136;780
1137;895
1138;1004
1139;779
1140;908
