count;dtMPU
1;494
2;489
3;468
4;464
5;608
6;462
7;521
8;465
9;463
10;553
11;481
12;474
13;483
14;486
15;469
16;462
17;635
18;464
19;485
20;510
21;469
22;497
23;465
24;509
25;551
26;461
27;466
28;539
29;470
30;615
31;463
32;491
33;462
34;470
35;555
36;471
37;576
38;465
39;486
40;461
41;461
42;552
43;472
44;476
45;497
46;478
47;563
48;470
49;616
50;467
51;500
52;460
53;473
54;548
55;468
56;480
57;464
58;461
59;596
60;462
61;549
62;470
63;484
64;586
65;461
66;484
67;461
68;469
69;553
70;471
71;552
72;465
73;486
74;488
75;461
76;550
77;464
78;479
79;540
80;461
81;550
82;473
83;473
84;589
85;461
86;486
87;467
88;472
89;600
90;466
91;507
92;461
93;469
94;478
95;469
96;498
97;465
98;463
99;541
100;467
101;497
102;537
103;516
104;463
105;471
106;555
107;469
108;618
109;460
110;465
111;548
112;469
113;616
114;475
115;539
116;462
117;469
118;548
119;472
120;484
121;459
122;459
123;484
124;460
125;461
126;551
127;459
128;462
129;535
130;460
131;459
132;534
133;461
134;459
135;536
136;461
137;461
138;535
139;460
140;485
141;533
142;460
143;484
144;533
145;459
146;486
147;460
148;460
149;484
150;460
151;459
152;484
153;459
154;485
155;535
156;460
157;484
158;460
159;460
160;483
161;459
162;460
163;484
164;460
165;460
166;483
167;460
168;460
169;484
170;458
171;463
172;537
173;459
174;459
175;537
176;459
177;459
178;538
179;460
180;459
181;538
182;460
183;460
184;541
185;460
186;483
187;540
188;459
189;484
190;518
191;461
192;484
193;462
194;460
195;485
196;459
197;461
198;484
199;461
200;461
201;485
202;460
203;460
204;483
205;462
206;461
207;539
208;460
209;485
210;461
211;460
212;484
213;461
214;485
215;540
216;459
217;487
218;459
219;460
220;535
221;460
222;484
223;541
224;461
225;484
226;551
227;461
228;485
229;460
230;460
231;485
232;459
233;460
234;484
235;461
236;460
237;484
238;460
239;459
240;483
241;460
242;460
243;526
244;462
245;461
246;532
247;460
248;460
249;546
250;460
251;461
252;625
253;460
254;539
255;459
256;461
257;534
258;461
259;459
260;537
261;460
262;461
263;534
264;461
265;460
266;537
267;459
268;485
269;627
270;466
271;540
272;461
273;460
274;537
275;461
276;460
277;535
278;461
279;461
280;536
281;462
282;461
283;541
284;462
285;484
286;461
287;460
288;485
289;460
290;460
291;485
292;461
293;460
294;483
295;460
296;462
297;486
298;459
299;483
300;459
301;462
302;484
303;458
304;462
305;483
306;461
307;460
308;484
309;459
310;460
311;539
312;459
313;460
314;544
315;460
316;460
317;539
318;460
319;461
320;542
321;459
322;460
323;534
324;461
325;483
326;539
327;460
328;483
329;534
330;460
331;484
332;459
333;461
334;485
335;459
336;460
337;484
338;460
339;460
340;484
341;459
342;461
343;495
344;460
345;459
346;547
347;474
348;460
349;535
350;460
351;476
352;516
353;459
354;461
355;626
356;459
357;539
358;460
359;460
360;536
361;461
362;460
363;535
364;459
365;461
366;547
367;460
368;458
369;533
370;461
371;485
372;531
373;461
374;484
375;534
376;460
377;485
378;458
379;460
380;485
381;462
382;460
383;484
384;462
385;462
386;483
387;461
388;462
389;487
390;461
391;462
392;537
393;461
394;460
395;535
396;459
397;460
398;543
399;458
400;460
401;539
402;458
403;460
404;537
405;459
406;460
407;544
408;461
409;483
410;534
411;459
412;484
413;537
414;461
415;484
416;460
417;460
418;483
419;460
420;461
421;539
422;460
423;484
424;459
425;460
426;543
427;461
428;461
429;533
430;460
431;482
432;501
433;460
434;483
435;534
436;461
437;485
438;461
439;459
440;485
441;461
442;461
443;485
444;460
445;459
446;486
447;460
448;462
449;543
450;459
451;485
452;479
453;461
454;486
455;459
456;462
457;486
458;460
459;460
460;483
461;460
462;460
463;544
464;460
465;460
466;546
467;459
468;460
469;537
470;460
471;460
472;538
473;459
474;461
475;536
476;460
477;483
478;535
479;459
480;492
481;535
482;459
483;483
484;461
485;460
486;483
487;460
488;463
489;484
490;461
491;460
492;484
493;461
494;460
495;547
496;459
497;483
498;461
499;461
500;484
501;461
502;460
503;483
504;487
505;459
506;538
507;459
508;459
509;541
510;460
511;460
512;539
513;460
514;461
515;510
516;460
517;462
518;539
519;460
520;484
521;549
522;459
523;486
524;542
525;463
526;484
527;462
528;459
529;485
530;460
531;462
532;485
533;460
534;460
535;484
536;460
537;461
538;483
539;460
540;462
541;536
542;459
543;484
544;460
545;461
546;483
547;461
548;461
549;548
550;459
551;484
552;459
553;459
554;485
555;460
556;459
557;483
558;460
559;460
560;484
561;461
562;462
563;543
564;461
565;484
566;459
567;459
568;483
569;462
570;462
571;485
572;460
573;460
574;536
575;461
576;460
577;530
578;460
579;459
580;537
581;460
582;460
583;532
584;459
585;461
586;535
587;460
588;482
589;524
590;460
591;484
592;460
593;459
594;539
595;460
596;461
597;536
598;462
599;484
600;533
601;460
602;484
603;535
604;461
605;484
606;459
607;460
608;486
609;458
610;461
611;485
612;463
613;461
614;491
615;461
616;462
617;484
618;461
619;459
620;540
621;460
622;462
623;532
624;460
625;460
626;535
627;461
628;460
629;532
630;460
631;460
632;536
633;458
634;485
635;534
636;461
637;484
638;539
639;460
640;484
641;461
642;460
643;484
644;460
645;459
646;485
647;459
648;460
649;484
650;460
651;462
652;539
653;460
654;484
655;458
656;460
657;484
658;459
659;460
660;483
661;465
662;459
663;484
664;459
665;460
666;533
667;459
668;460
669;533
670;466
671;459
672;526
673;468
674;460
675;536
676;460
677;476
678;525
679;460
680;485
681;550
682;461
683;484
684;540
685;461
686;484
687;460
688;459
689;488
690;460
691;460
692;484
693;463
694;460
695;486
696;461
697;460
698;485
699;461
700;460
701;543
702;462
703;467
704;542
705;461
706;461
707;626
708;460
709;484
710;459
711;461
712;536
713;461
714;458
715;537
716;460
717;460
718;541
719;462
720;459
721;541
722;460
723;461
724;535
725;458
726;484
727;537
728;460
729;485
730;459
731;462
732;535
733;462
734;459
735;525
736;459
737;484
738;535
739;460
740;485
741;536
742;459
743;484
744;459
745;461
746;483
747;460
748;461
749;540
750;459
751;484
752;497
753;460
754;483
755;459
756;461
757;483
758;461
759;459
760;528
761;461
762;461
763;485
764;462
765;461
766;534
767;460
768;462
769;535
770;461
771;461
772;535
773;462
774;462
775;545
776;461
777;539
778;461
779;461
780;538
781;461
782;484
783;460
784;460
785;483
786;462
787;462
788;485
789;460
790;461
791;536
792;460
793;460
794;532
795;459
796;461
797;537
798;461
799;463
800;539
801;460
802;491
803;460
804;460
805;535
806;461
807;460
808;542
809;459
810;462
811;629
812;461
813;540
814;460
815;459
816;539
817;458
818;483
819;459
820;462
821;484
822;459
823;461
824;535
825;460
826;460
827;533
828;459
829;461
830;534
831;462
832;461
833;537
834;461
835;459
836;549
837;459
838;488
839;584
840;461
841;485
842;539
843;460
844;484
845;462
846;461
847;493
848;528
849;460
850;484
851;461
852;460
853;485
854;460
855;463
856;545
857;459
858;483
859;588
860;486
861;537
862;460
863;487
864;538
865;463
866;483
867;461
868;461
869;485
870;461
871;461
872;484
873;461
874;460
875;483
876;460
877;463
878;546
879;459
880;486
881;461
882;459
883;483
884;461
885;461
886;484
887;459
888;463
889;611
890;459
891;484
892;460
893;461
894;484
895;460
896;459
897;485
898;461
899;460
900;538
901;460
902;461
903;538
904;459
905;459
906;534
907;461
908;460
909;532
910;460
911;459
912;535
913;460
914;462
915;540
916;460
917;484
918;534
919;461
920;482
921;459
922;461
923;484
924;461
925;460
926;475
927;459
928;461
929;485
930;460
931;459
932;486
933;460
934;522
935;483
936;460
937;460
938;531
939;460
940;461
941;533
942;462
943;460
944;533
945;459
946;461
947;545
948;462
949;460
950;544
951;459
952;485
953;539
954;460
955;483
956;460
957;461
958;486
959;458
960;460
961;484
962;460
963;459
964;483
965;460
966;460
967;485
968;460
969;461
970;534
971;459
972;459
973;535
974;461
975;459
976;538
977;460
978;461
979;534
980;460
981;461
982;537
983;460
984;528
985;459
986;458
987;534
988;459
989;460
990;522
991;461
992;461
993;535
994;460
995;459
996;538
997;459
998;485
999;542
1000;459
1001;537
1002;460
1003;462
1004;536
1005;459
1006;459
1007;533
1008;460
1009;484
1010;532
1011;460
1012;484
1013;540
1014;460
1015;491
1016;459
1017;460
1018;485
1019;460
1020;459
1021;484
1022;460
1023;448
1024;483
1025;460
1026;460
1027;485
1028;460
1029;461
1030;538
1031;462
1032;459
1033;547
1034;459
1035;460
1036;534
1037;461
1038;462
1039;536
1040;460
1041;461
1042;540
1043;461
1044;484
1045;536
1046;459
1047;485
1048;536
1049;461
1050;483
1051;461
1052;459
1053;485
1054;459
1055;459
1056;540
1057;460
1058;483
1059;533
1060;459
1061;484
1062;458
1063;490
1064;543
1065;460
1066;535
1067;460
1068;462
1069;535
1070;459
1071;459
1072;536
1073;460
1074;460
1075;539
1076;459
1077;484
1078;532
1079;461
1080;483
1081;532
1082;459
1083;483
1084;459
1085;461
1086;484
1087;460
1088;459
1089;484
1090;460
1091;460
1092;484
1093;458
1094;459
1095;535
1096;459
1097;460
1098;534
1099;458
1100;459
1101;535
1102;460
1103;460
1104;535
1105;460
1106;461
1107;498
1108;460
1109;460
1110;542
1111;460
1112;485
1113;537
1114;463
1115;483
1116;533
1117;459
1118;486
1119;461
1120;461
1121;484
1122;460
1123;459
1124;543
1125;461
1126;485
1127;542
1128;460
1129;484
1130;463
1131;459
1132;541
1133;460
1134;486
1135;536
1136;460
1137;483
1138;534
1139;461
1140;486
1141;461
1142;461
1143;484
1144;460
1145;460
1146;483
1147;459
1148;460
1149;483
1150;460
1151;460
1152;484
1153;459
1154;463
1155;531
1156;460
1157;460
1158;503
1159;461
1160;461
1161;534
1162;461
1163;461
1164;537
1165;458
1166;461
1167;534
1168;460
1169;483
1170;532
1171;461
1172;483
1173;536
1174;460
1175;484
1176;459
1177;463
1178;486
1179;461
1180;485
1181;644
1182;460
1183;539
1184;459
1185;462
1186;623
1187;459
1188;539
1189;462
1190;462
1191;507
1192;545
1193;460
1194;534
1195;460
1196;462
1197;540
1198;460
1199;461
1200;535
1201;461
1202;485
1203;535
1204;460
1205;487
1206;537
1207;461
1208;483
1209;460
1210;459
1211;484
1212;459
1213;460
1214;483
1215;461
1216;458
1217;483
1218;459
1219;461
1220;483
1221;460
1222;461
1223;539
1224;460
1225;460
1226;532
1227;459
1228;460
1229;539
1230;459
1231;460
1232;542
1233;461
1234;535
1235;459
1236;458
1237;533
1238;461
1239;460
1240;537
1241;460
1242;461
1243;532
1244;459
1245;462
1246;532
1247;460
1248;484
1249;541
1250;460
1251;485
1252;542
1253;459
1254;534
1255;460
1256;475
1257;476
1258;458
1259;483
1260;550
1261;460
1262;484
1263;535
1264;468
1265;484
1266;458
1267;459
1268;484
1269;460
1270;462
1271;484
1272;435
1273;460
1274;485
1275;459
1276;460
1277;483
1278;461
1279;460
1280;544
1281;460
1282;459
1283;538
1284;461
1285;460
1286;539
1287;461
1288;460
1289;537
1290;462
1291;460
1292;536
1293;460
1294;484
1295;531
1296;461
1297;483
1298;535
1299;460
1300;485
1301;459
1302;461
1303;484
1304;460
1305;459
1306;484
1307;460
1308;460
1309;482
1310;460
1311;462
1312;537
1313;459
1314;484
1315;461
1316;460
1317;483
1318;462
1319;459
1320;483
1321;459
1322;460
1323;484
1324;460
1325;459
1326;536
1327;459
1328;484
1329;460
1330;459
1331;484
1332;462
1333;460
1334;538
1335;458
1336;459
1337;532
1338;461
1339;460
1340;534
1341;457
1342;459
1343;537
1344;460
1345;461
1346;531
1347;460
1348;483
1349;537
1350;459
1351;483
1352;500
1353;461
1354;485
1355;458
1356;461
1357;485
1358;461
1359;461
1360;484
1361;460
1362;459
1363;485
1364;460
1365;507
1366;484
1367;461
1368;460
1369;665
1370;458
1371;486
1372;461
1373;461
1374;483
1375;461
1376;459
1377;485
1378;460
1379;461
1380;531
1381;460
1382;460
1383;536
1384;459
1385;459
1386;538
1387;460
1388;460
1389;526
1390;460
1391;460
1392;543
1393;461
1394;484
1395;537
1396;459
1397;484
1398;543
1399;461
1400;485
1401;461
1402;461
1403;498
1404;459
1405;460
1406;484
1407;460
1408;459
1409;483
1410;460
1411;460
1412;483
1413;460
1414;460
1415;528
1416;459
1417;460
1418;535
1419;460
1420;460
1421;540
1422;459
1423;460
1424;537
1425;460
1426;461
1427;534
1428;459
1429;484
1430;539
1431;460
1432;483
1433;459
1434;548
1435;487
1436;460
1437;484
1438;549
1439;461
1440;483
1441;533
1442;474
1443;483
1444;460
1445;460
1446;498
1447;462
1448;461
1449;484
1450;473
1451;461
1452;485
1453;460
1454;463
1455;484
1456;460
1457;458
1458;672
1459;459
1460;485
1461;461
1462;462
1463;483
1464;460
1465;460
1466;485
1467;460
1468;460
1469;538
1470;460
1471;460
1472;546
1473;545
1474;490
1475;3969
1476;564
1477;487
1478;506
1479;624
1480;477
1481;571
1482;502
1483;727
1484;508
1485;620
1486;500
1487;613
1488;462
1489;486
1490;460
1491;585
1492;541
1493;462
1494;483
1495;460
1496;460
1497;487
1498;459
1499;461
1500;482
1501;461
1502;461
1503;485
1504;461
1505;461
1506;505
1507;462
1508;460
1509;624
1510;460
1511;484
1512;459
1513;461
1514;484
1515;459
1516;460
1517;537
1518;459
1519;460
1520;538
1521;460
1522;460
1523;536
1524;460
1525;461
1526;533
1527;460
1528;459
1529;530
1530;461
1531;484
1532;533
1533;459
1534;484
1535;532
1536;460
1537;483
1538;459
1539;461
1540;483
1541;461
1542;460
1543;483
1544;460
1545;461
1546;486
1547;459
1548;484
1549;461
1550;462
1551;538
1552;460
1553;461
1554;535
1555;459
1556;484
1557;520
1558;461
1559;484
1560;459
1561;459
1562;538
1563;462
1564;484
1565;535
1566;460
1567;483
1568;512
1569;460
1570;484
1571;460
1572;461
1573;483
1574;461
1575;459
1576;486
1577;460
1578;459
1579;485
1580;461
1581;460
1582;486
1583;461
1584;460
1585;538
1586;460
1587;460
1588;542
1589;460
1590;461
1591;533
1592;461
1593;459
1594;537
1595;459
1596;460
1597;533
1598;461
1599;484
1600;638
1601;460
1602;550
1603;459
1604;462
1605;535
1606;460
1607;460
1608;540
1609;460
1610;486
1611;533
1612;460
1613;484
1614;534
1615;458
1616;485
1617;459
1618;461
1619;534
1620;459
1621;484
1622;527
1623;460
1624;484
1625;535
1626;460
1627;483
1628;494
1629;459
1630;484
1631;460
1632;460
1633;482
1634;461
1635;460
1636;484
1637;460
1638;460
1639;485
1640;460
1641;460
1642;538
1643;459
1644;459
1645;538
1646;459
1647;459
1648;536
1649;459
1650;460
1651;535
1652;460
1653;460
1654;535
1655;460
1656;483
1657;536
1658;459
1659;483
1660;511
1661;461
1662;483
1663;459
1664;459
1665;485
1666;460
1667;461
1668;483
1669;461
1670;459
1671;486
1672;459
1673;462
1674;483
1675;461
1676;460
1677;541
1678;458
1679;461
1680;524
1681;459
1682;460
1683;543
1684;458
1685;460
1686;535
1687;460
1688;459
1689;542
1690;460
1691;484
1692;535
1693;460
1694;484
1695;536
1696;460
1697;483
1698;459
1699;461
1700;484
1701;460
1702;460
1703;483
1704;460
1705;461
1706;484
1707;460
1708;459
1709;483
1710;461
1711;459
1712;536
1713;460
1714;462
1715;535
1716;459
1717;460
1718;536
1719;460
1720;461
1721;631
1722;460
1723;541
1724;459
1725;460
1726;537
1727;460
1728;460
1729;538
1730;459
1731;459
1732;537
1733;459
1734;462
1735;536
1736;459
1737;483
1738;542
1739;460
1740;484
1741;459
1742;464
1743;485
1744;460
1745;459
1746;485
1747;460
1748;460
1749;484
1750;461
1751;461
1752;493
1753;460
1754;461
1755;539
1756;461
1757;459
1758;539
1759;460
1760;460
1761;535
1762;462
1763;460
1764;542
1765;460
1766;459
1767;539
1768;462
1769;484
1770;536
1771;460
1772;484
1773;535
1774;460
1775;483
1776;459
1777;460
1778;485
1779;460
1780;460
1781;483
1782;462
1783;460
1784;484
1785;458
1786;461
1787;483
1788;460
1789;460
1790;539
1791;459
1792;460
1793;538
1794;459
1795;462
1796;537
1797;460
1798;460
1799;539
1800;460
1801;461
1802;546
1803;459
1804;484
1805;536
1806;460
1807;484
1808;460
1809;459
1810;484
1811;460
1812;459
1813;485
1814;459
1815;460
1816;483
1817;460
1818;461
1819;485
1820;459
1821;460
1822;551
1823;465
1824;458
1825;539
1826;459
1827;461
1828;534
1829;459
1830;460
1831;537
1832;460
1833;460
1834;535
1835;460
1836;485
1837;532
1838;460
1839;485
1840;525
1841;463
1842;484
1843;462
1844;463
1845;484
1846;459
1847;461
1848;484
1849;462
1850;460
1851;484
1852;461
1853;461
1854;484
1855;460
1856;460
1857;538
1858;459
1859;461
1860;534
1861;461
1862;459
1863;545
1864;461
1865;461
1866;535
1867;460
1868;460
1869;530
1870;459
1871;486
1872;534
1873;459
1874;483
1875;543
1876;460
1877;696
1878;461
1879;460
1880;532
1881;460
1882;482
1883;544
1884;508
1885;485
1886;460
1887;460
1888;486
1889;460
1890;460
1891;485
1892;460
1893;458
1894;485
1895;461
1896;460
1897;483
1898;461
1899;460
1900;537
1901;459
1902;458
1903;538
1904;478
1905;460
1906;534
1907;459
1908;461
1909;533
1910;479
1911;463
1912;533
1913;462
1914;484
1915;533
1916;461
1917;484
1918;504
1919;459
1920;488
1921;461
1922;460
1923;484
1924;463
1925;460
1926;485
1927;463
1928;461
1929;484
1930;478
1931;461
1932;542
1933;463
1934;460
1935;536
1936;461
1937;459
1938;535
1939;461
1940;460
1941;539
1942;461
1943;462
1944;571
1945;461
1946;540
1947;460
1948;462
1949;538
1950;460
1951;460
1952;534
1953;460
1954;460
1955;536
1956;459
1957;484
1958;532
1959;462
1960;483
1961;546
1962;461
1963;484
1964;461
1965;459
1966;484
1967;461
1968;459
1969;484
1970;459
1971;460
1972;483
1973;461
1974;503
1975;483
1976;460
1977;460
1978;641
1979;501
1980;485
1981;460
1982;461
1983;538
1984;460
1985;460
1986;662
1987;461
1988;484
1989;460
1990;460
1991;487
1992;460
1993;462
1994;481
1995;476
1996;463
1997;661
1998;461
1999;486
2000;459
2001;463
2002;484
2003;460
2004;483
2005;536
2006;461
2007;484
2008;462
2009;460
2010;484
2011;461
2012;461
2013;486
2014;459
2015;485
2016;538
2017;461
2018;484
2019;463
2020;459
2021;484
2022;460
2023;462
2024;485
2025;459
2026;459
2027;484
2028;460
2029;461
2030;482
2031;460
2032;460
2033;539
2034;459
2035;460
2036;533
2037;463
2038;460
2039;534
2040;461
2041;460
2042;537
2043;461
2044;459
2045;534
2046;460
2047;485
2048;533
2049;460
2050;485
2051;543
2052;459
2053;484
2054;464
2055;461
2056;483
2057;460
2058;477
2059;483
2060;460
2061;459
2062;483
2063;460
2064;460
2065;483
2066;459
2067;460
2068;535
2069;459
2070;481
2071;518
2072;461
2073;461
2074;534
2075;460
2076;461
2077;536
2078;462
2079;459
2080;533
2081;460
2082;484
2083;538
2084;461
2085;484
2086;538
2087;460
2088;485
2089;460
2090;461
2091;482
2092;461
2093;461
2094;485
2095;460
2096;461
2097;484
2098;462
2099;461
2100;484
2101;459
2102;460
2103;533
2104;458
2105;460
2106;536
2107;460
2108;461
2109;541
2110;461
2111;460
2112;530
2113;460
2114;462
2115;541
2116;461
2117;540
2118;460
2119;460
2120;536
2121;461
2122;459
2123;536
2124;460
2125;459
2126;535
2127;460
2128;483
2129;533
2130;460
2131;484
2132;545
2133;460
2134;483
2135;459
2136;459
2137;486
2138;460
2139;462
2140;483
2141;460
2142;460
2143;496
2144;460
2145;459
2146;484
2147;459
2148;460
2149;534
2150;460
2151;441
2152;549
2153;463
2154;460
2155;535
2156;460
2157;464
2158;540
2159;459
2160;461
2161;536
2162;461
2163;537
2164;538
2165;463
2166;483
2167;512
2168;459
2169;488
2170;460
2171;461
2172;483
2173;461
2174;460
2175;541
2176;460
2177;487
2178;535
2179;460
2180;483
2181;462
2182;463
2183;487
2184;460
2185;461
2186;483
2187;460
2188;459
2189;483
2190;460
2191;460
2192;484
2193;460
2194;461
2195;543
2196;459
2197;460
2198;535
2199;460
2200;461
2201;534
2202;460
2203;461
2204;535
2205;461
2206;458
2207;534
2208;461
2209;483
2210;533
2211;459
2212;483
2213;533
2214;459
2215;484
2216;460
2217;462
2218;484
2219;460
2220;460
2221;483
2222;459
2223;459
2224;483
2225;461
2226;459
2227;484
2228;461
2229;459
2230;534
2231;459
2232;502
2233;504
2234;460
2235;461
2236;542
2237;460
2238;461
2239;537
2240;459
2241;464
2242;543
2243;460
2244;491
2245;549
2246;462
2247;483
2248;485
2249;459
2250;485
2251;460
2252;462
2253;482
2254;462
2255;459
2256;485
2257;461
2258;462
2259;485
2260;462
2261;460
2262;535
2263;460
2264;460
2265;533
2266;462
2267;460
2268;537
2269;460
2270;459
2271;538
2272;460
2273;459
2274;539
2275;460
2276;483
2277;539
2278;459
2279;483
2280;520
2281;460
2282;485
2283;459
2284;459
2285;484
2286;461
2287;460
2288;484
2289;460
2290;463
2291;484
2292;459
2293;460
2294;483
2295;461
2296;461
2297;530
2298;459
2299;459
2300;534
2301;459
2302;461
2303;534
2304;460
2305;460
2306;539
2307;459
2308;459
2309;533
2310;461
2311;482
2312;534
2313;460
2314;484
2315;537
2316;459
2317;484
2318;459
2319;460
2320;484
2321;460
2322;461
2323;486
2324;459
2325;461
2326;484
