count;dtLSM
791;817
792;817
793;816
794;825
795;1005
796;940
797;817
798;817
799;818
800;815
801;817
802;798
803;817
804;818
805;816
806;819
807;816
808;817
809;839
810;868
811;1055
812;847
813;818
814;842
815;826
816;839
817;824
818;818
819;851
820;839
821;839
822;819
823;832
824;833
825;1060
826;1074
827;824
828;843
829;829
830;839
831;816
832;819
833;828
834;840
835;824
836;806
837;831
838;827
839;1056
840;955
841;828
842;838
843;829
844;839
845;821
846;831
847;828
848;832
849;830
850;828
851;841
852;817
853;824
854;994
855;953
856;823
857;817
858;831
859;836
860;824
861;823
862;834
863;857
864;837
865;816
866;828
867;828
868;915
869;1054
870;849
871;825
872;828
873;828
874;828
875;841
876;816
877;831
878;826
879;841
880;840
881;824
882;853
883;1031
884;929
885;860
886;818
887;834
888;826
889;824
890;817
891;832
892;827
893;824
894;821
895;831
896;838
897;849
898;1054
899;862
900;828
901;838
902;840
903;834
904;827
905;840
906;824
907;832
908;794
909;827
910;823
911;820
912;1050
913;965
914;817
915;816
916;817
917;821
918;818
919;817
920;817
921;817
922;817
923;818
924;818
925;818
926;818
927;854
928;1049
929;857
930;816
931;818
932;815
933;822
934;817
935;817
936;819
937;817
938;818
939;816
940;827
941;820
942;825
943;1025
944;953
945;824
946;817
947;816
948;818
949;817
950;816
951;806
952;818
953;817
954;816
955;818
956;818
957;819
958;1048
959;948
960;817
961;816
962;818
963;818
964;818
965;817
966;815
967;820
968;819
969;825
970;817
971;817
972;818
973;1061
974;930
975;816
976;817
977;817
978;815
979;817
980;820
981;817
982;817
983;816
984;817
985;842
986;816
987;819
988;848
989;1047
990;858
991;817
992;818
993;817
994;817
995;818
996;817
997;817
998;818
999;817
1000;818
1001;816
1002;816
1003;798
1004;1022
1005;945
1006;818
1007;841
1008;815
1009;822
1010;818
1011;817
1012;817
1013;816
1014;818
1015;779
1016;817
1017;816
1018;824
1019;1036
1020;953
1021;817
1022;816
1023;817
1024;817
1025;817
1026;818
1027;820
1028;818
1029;855
1030;818
1031;817
1032;825
1033;831
1034;992
1035;946
1036;818
1037;815
1038;818
1039;816
1040;816
1041;818
1042;816
1043;823
1044;819
1045;818
1046;818
1047;820
1048;817
1049;1015
1050;947
1051;826
1052;817
1053;818
1054;817
1055;817
1056;817
1057;818
1058;818
1059;819
1060;817
1061;833
1062;819
1063;824
1064;991
1065;947
1066;817
1067;818
1068;818
1069;816
1070;819
1071;817
1072;818
1073;859
1074;820
1075;820
1076;817
1077;817
1078;820
1079;994
1080;964
1081;826
1082;827
1083;827
1084;839
1085;840
1086;819
1087;830
1088;841
1089;825
1090;794
1091;817
1092;828
1093;832
1094;996
1095;1073
