count;dtLSM
1;895
2;843
3;1257
4;825
5;833
6;835
7;818
8;834
9;820
10;858
11;823
12;843
13;828
14;839
15;852
16;818
17;864
18;841
19;832
20;831
21;818
22;849
23;827
24;822
25;829
26;829
27;821
28;841
29;825
30;823
31;841
32;835
33;823
34;834
35;849
36;830
37;842
38;828
39;821
40;836
41;823
42;810
43;843
44;906
45;834
46;829
47;834
48;819
49;880
50;818
51;830
52;849
53;820
54;847
55;837
56;827
57;835
58;837
59;845
60;824
61;847
62;818
63;846
64;802
65;819
66;829
67;859
68;819
69;821
70;842
71;838
72;820
73;879
74;821
75;819
76;828
77;818
78;892
79;819
80;852
81;804
82;841
83;837
84;820
85;846
86;843
87;817
88;836
89;836
90;816
91;835
92;825
93;819
94;850
95;819
96;819
97;824
98;821
99;830
100;867
101;829
102;834
103;853
104;817
105;849
106;827
107;819
108;843
109;822
110;820
111;844
112;832
113;823
114;820
115;864
116;818
117;844
118;818
119;820
120;864
121;820
122;845
123;850
124;819
125;819
126;862
127;823
128;846
129;840
130;819
131;836
132;827
133;821
134;857
135;829
136;821
137;834
138;818
139;826
140;853
141;825
142;842
143;838
144;819
145;849
146;830
147;838
148;840
149;821
150;861
151;819
152;842
153;825
154;844
155;838
156;845
157;819
158;859
159;834
160;821
161;863
162;819
163;818
164;822
165;837
166;818
167;822
168;823
169;834
170;820
171;844
172;817
173;826
174;844
175;819
176;849
177;849
178;830
179;831
180;821
181;856
182;818
183;855
184;827
185;841
186;838
187;826
188;818
189;828
190;831
191;820
192;851
193;818
194;819
195;848
196;825
197;832
198;878
199;820
200;833
201;855
202;820
203;829
204;830
205;825
206;838
207;832
208;838
209;830
210;849
211;842
212;820
213;829
214;817
215;835
216;818
217;852
218;824
219;838
220;831
221;820
222;868
223;832
224;819
225;820
226;821
227;818
228;831
229;818
230;818
231;848
232;833
233;820
234;854
235;843
236;819
237;859
238;902
239;883
240;822
241;890
242;883
243;824
244;820
245;871
246;825
247;818
248;827
249;819
250;886
251;821
252;893
253;827
254;821
255;870
256;883
257;822
258;858
259;880
260;826
261;828
262;818
263;882
264;867
265;832
266;825
267;880
268;885
269;869
270;828
271;880
272;885
273;819
274;847
275;881
276;865
277;823
278;1116
279;879
280;837
281;845
282;826
283;854
284;886
285;826
286;819
287;881
288;884
289;826
290;852
291;1090
292;1101
293;883
294;825
295;818
296;847
297;825
298;818
299;856
300;837
301;818
302;850
303;880
304;830
305;1148
306;877
307;836
308;815
309;819
310;927
311;832
312;870
313;800
314;854
315;896
316;826
317;827
318;857
319;1076
320;868
321;825
322;818
323;844
324;828
325;825
326;820
327;873
328;877
329;865
330;826
331;831
332;893
333;1057
334;846
335;851
336;820
337;870
338;825
339;865
340;833
341;831
342;874
343;883
344;822
345;842
346;897
347;1061
348;853
349;878
350;873
351;843
352;880
353;825
354;846
355;874
356;877
357;863
358;844
359;871
360;1081
361;990
362;828
363;827
364;848
365;873
366;873
367;866
368;818
369;845
370;871
371;826
372;819
373;859
374;1056
375;1096
376;827
377;829
378;856
379;873
380;879
381;819
382;844
383;841
384;877
385;827
386;852
387;889
388;1064
389;845
390;820
391;878
392;862
393;831
394;826
395;853
396;877
397;875
398;827
399;821
400;843
401;908
402;1054
403;879
404;837
405;838
406;870
407;878
408;833
409;872
410;874
411;877
412;819
413;834
414;871
415;1061
416;1035
417;833
418;864
419;874
420;827
421;818
422;877
423;863
424;825
425;855
426;872
427;878
428;837
429;998
430;961
431;804
432;876
433;875
434;862
435;819
436;819
437;875
438;864
439;893
440;874
441;874
442;829
443;1009
444;1093
445;828
446;820
447;829
448;878
449;826
450;878
451;863
452;850
453;878
454;827
455;856
456;876
457;966
458;1114
459;829
460;834
461;817
462;875
463;859
464;831
465;852
466;876
467;877
468;829
469;854
470;872
471;1047
472;1056
473;797
474;827
475;869
476;829
477;824
478;817
479;874
480;881
481;862
482;845
483;871
484;881
485;1064
486;864
487;863
488;875
489;827
490;818
491;842
492;862
493;826
494;826
495;821
496;875
497;878
498;888
499;1066
500;962
501;873
502;878
503;822
504;844
505;875
506;827
507;828
508;820
509;871
510;877
511;861
512;1087
513;1028
514;843
515;877
516;825
517;877
518;823
519;856
520;874
521;864
522;829
523;829
524;873
525;899
526;1059
527;874
528;820
529;868
530;826
531;863
532;860
533;846
534;877
535;876
536;821
537;842
538;874
539;892
540;1055
541;853
542;816
543;835
544;821
545;821
546;862
547;835
548;822
549;819
550;838
551;837
552;848
553;822
554;1130
555;965
556;825
557;835
558;827
559;850
560;830
561;820
562;821
563;847
564;822
565;831
566;848
567;817
568;872
569;1078
570;847
